HCI Lecture Interaction Questionnaire
I enjoy interactive activities in lectures.
Response,Via,Screen name,Registered participant,Created At
Agree,Activated One Page Survey,User: Web_06529,"",2025-08-17 22:44:30
Agree,Activated One Page Survey,User: Web_60acc,"",2025-08-17 22:44:32
Strongly Agree,Activated One Page Survey,User: Web_aa2e2,"",2025-08-17 22:44:45
Agree,Activated One Page Survey,User: Web_e2ba9,"",2025-08-17 22:44:45
Strongly Agree,Activated One Page Survey,User: Web_40bdd,"",2025-08-17 22:44:48
Strongly Agree,Activated One Page Survey,User: Web_2d987,"",2025-08-17 22:44:50
Agree,Activated One Page Survey,User: Web_126ba,"",2025-08-17 22:44:51
Strongly Agree,Activated One Page Survey,User: Web_968ed,"",2025-08-17 22:44:54
Strongly Agree,Activated One Page Survey,User: Web_b8f39,"",2025-08-17 22:44:55
Strongly Agree,Activated One Page Survey,User: Web_67c02,"",2025-08-17 22:44:55
Agree,Activated One Page Survey,User: Web_0fdf7,"",2025-08-17 22:44:55
Agree,Activated One Page Survey,User: Web_8ddd3,"",2025-08-17 22:44:56
Agree,Activated One Page Survey,User: Web_d5bc0,"",2025-08-17 22:44:56
Strongly Agree,Activated One Page Survey,User: Web_ea08c,"",2025-08-17 22:44:58
Strongly Agree,Activated One Page Survey,User: Web_9e11f,"",2025-08-17 22:44:59
Strongly Agree,Activated One Page Survey,User: Web_c8ce9,"",2025-08-17 22:45:00
Strongly Agree,Activated One Page Survey,User: Web_54b64,"",2025-08-17 22:45:02
Neutral,Activated One Page Survey,User: Web_b9d95,"",2025-08-17 22:45:02
Strongly Agree,Activated One Page Survey,User: Web_dd5a0,"",2025-08-17 22:45:03
Strongly Agree,Activated One Page Survey,User: Web_e9034,"",2025-08-17 22:45:04
Agree,Activated One Page Survey,User: Web_d18af,"",2025-08-17 22:45:10
Agree,Activated One Page Survey,User: Web_68fe2,"",2025-08-17 22:45:10
Neutral,Activated One Page Survey,User: Web_4aed5,"",2025-08-17 22:45:13
Agree,Activated One Page Survey,User: Web_f33aa,"",2025-08-17 22:45:14
Agree,Activated One Page Survey,User: Web_92d5e,"",2025-08-17 22:45:14
Strongly Agree,Activated One Page Survey,User: Web_aace6,"",2025-08-17 22:45:15
Strongly Agree,Activated One Page Survey,User: Web_8f070,"",2025-08-17 22:45:34
Strongly Agree,Activated One Page Survey,User: Web_1c848,"",2025-08-17 22:45:35
Disagree,Activated One Page Survey,User: Web_04c43,"",2025-08-17 22:45:36
Strongly Agree,Activated One Page Survey,User: Web_dc4f0,"",2025-08-17 22:46:00
Agree,Activated One Page Survey,User: Web_7a7b5,"",2025-08-17 22:46:23
Strongly Disagree,Activated One Page Survey,User: Web_9dc0b,"",2025-08-17 22:46:25
Strongly Agree,Activated One Page Survey,User: Web_08892,"",2025-08-17 22:46:30
Agree,Activated One Page Survey,User: Web_9d73f,"",2025-08-17 22:47:42
""
I usually attend lectures in person
Response,Via,Screen name,Registered participant,Created At
